lat	lon	ele
45.61928	6.770006	901.2
45.619243	6.769965	901.2
45.619227	6.769949	901.2
45.619209	6.769933	901.2
45.619189	6.76993	902.2
45.619116	6.76985	902.2
45.619077	6.769825	902.2
45.619047	6.769803	902.2
45.61902	6.769759	902.2
45.618952	6.769709	902.2
45.618906	6.769684	902.2
45.618874	6.769663	902.2
45.618846	6.769626	902.2
45.61882	6.769615	902.2
45.618768	6.769562	902.2
45.618747	6.76953	903.4
45.61873	6.769513	903.4
45.618672	6.769445	903.4
45.61864	6.769425	903.4
45.618617	6.769391	903.4
45.618582	6.769359	903.4
45.618516	6.76932	903.4
45.618486	6.769319	903.4
45.618465	6.769326	904.6
45.61845	6.769352	904.6
45.618436	6.769426	904.6
45.618438	6.769469	904.6
45.618445	6.769521	904.6
45.618433	6.769593	905.6
45.618416	6.76968	905.6
45.61839	6.769705	905.6
45.618355	6.769714	905.6
45.618332	6.769714	905.6
45.618308	6.76971	905.6
45.618223	6.769662	905.6
45.618183	6.769641	905.6
45.618146	6.769623	905.6
45.618065	6.76957	905.6
45.618032	6.769543	905.6
45.617992	6.769518	905.6
45.617957	6.769493	905.6
45.61787	6.769496	905.6
45.617831	6.769487	905.6
45.617789	6.769492	906.6
45.617756	6.76948	906.6
45.617683	6.769461	906.6
45.617647	6.769449	906.6
45.61761	6.769432	906.6
45.617577	6.769432	906.6
45.617512	6.769383	907.8
45.617482	6.769358	907.8
45.617446	6.769344	907.8
45.617407	6.769335	907.8
45.61737	6.769321	907.8
45.617289	6.769303	908.8
45.617248	6.769298	908.8
45.617203	6.769279	908.8
45.617127	6.769256	908.8
45.617089	6.769241	908.8
45.617053	6.769227	910
45.617012	6.769217	910
45.61694	6.769187	910
45.6169	6.769169	910
45.616866	6.76915	910
45.616831	6.769127	911.2
45.61676	6.76908	911.2
45.616726	6.769057	911.2
45.616691	6.769021	911.2
45.616658	6.768992	911.2
45.616593	6.768935	912.4
45.616562	6.768906	912.4
45.61653	6.768877	912.4
45.616497	6.768851	912.4
45.61644	6.768802	913.4
45.616411	6.768775	913.4
45.616381	6.768743	913.4
45.616355	6.768711	914.6
45.616303	6.768641	914.6
45.616279	6.768599	914.6
45.616257	6.768562	915.6
45.616238	6.76852	915.6
45.616202	6.768441	915.6
45.616188	6.768397	916.8
45.616171	6.768355	916.8
45.616164	6.768312	916.8
45.616139	6.768218	917.8
45.616133	6.768168	917.8
45.616125	6.768122	917.8
45.61612	6.768079	918.8
45.616109	6.767986	918.8
45.616106	6.767944	918.8
45.616099	6.767901	918.8
45.616097	6.767858	920.2
45.61609	6.767771	920.2
45.616084	6.767724	920.2
45.616077	6.767671	921.2
45.616076	6.767631	921.2
45.616068	6.767548	921.2
45.616071	6.767506	922.2
45.61607	6.767463	922.2
45.61607	6.767425	922.2
45.616071	6.767336	923.4
45.616076	6.767297	923.4
45.616067	6.767259	923.4
45.616069	6.767224	924.6
45.616061	6.767149	924.6
45.616055	6.767104	924.6
45.616052	6.767053	925.6
45.61605	6.767016	925.6
45.616049	6.766937	925.6
45.616023	6.766876	925.6
45.615981	6.766799	926.8
45.61594	6.766752	926.8
45.615876	6.766725	926.8
45.61584	6.766707	926.8
45.615799	6.766691	928
45.615759	6.766674	928
45.615683	6.766643	928
45.615645	6.766632	928
45.615606	6.766619	928
45.615567	6.766606	929.2
45.61549	6.766579	929.2
45.615451	6.766566	929.2
45.615411	6.766553	929.2
45.615372	6.766539	929.2
45.615293	6.766513	929.2
45.615253	6.766499	930.2
45.615214	6.766485	930.2
45.615176	6.766473	930.2
45.615102	6.766452	930.2
45.615066	6.76644	930.2
45.615029	6.766427	930.2
45.614994	6.766415	930.2
45.614927	6.766402	931.2
45.614891	6.766392	931.2
45.614855	6.766382	931.2
45.614817	6.76637	931.2
45.614743	6.766345	931.2
45.614703	6.766336	932.4
45.614665	6.766325	932.4
45.614625	6.766313	932.4
45.61455	6.766282	932.4
45.61451	6.766265	932.4
45.614467	6.766258	932.4
45.614425	6.766244	933.6
45.614338	6.766222	933.6
45.614296	6.766208	933.6
45.614252	6.766194	933.6
45.614211	6.766182	933.6
45.614124	6.766158	934.8
45.614077	6.766152	934.8
45.614029	6.766144	934.8
45.613982	6.766133	934.8
45.613887	6.766105	934.8
45.613839	6.766092	934.8
45.613793	6.766082	935.8
45.613745	6.766071	935.8
45.613652	6.766039	935.8
45.613607	6.766018	935.8
45.613562	6.765998	935.8
45.613517	6.765977	935.8
45.613425	6.765931	935.8
45.61338	6.765909	935.8
45.613335	6.765887	935.8
45.613289	6.765862	935.8
45.613194	6.765825	937
45.613145	6.765801	937
45.613096	6.76578	937
45.613046	6.765761	937
45.612945	6.765724	937
45.612891	6.765707	937
45.61284	6.765688	938.2
45.612787	6.765667	938.2
45.61268	6.765631	938.2
45.612627	6.765614	938.2
45.612573	6.765595	938.2
45.61252	6.765574	938.2
45.612418	6.765537	938.2
45.612368	6.76552	938.2
45.612317	6.765505	939.2
45.612268	6.765488	939.2
45.612177	6.76545	939.2
45.612132	6.765432	939.2
45.61209	6.76541	939.2
45.612047	6.765386	939.2
45.611965	6.765314	939.2
45.61192	6.765281	939.2
45.611871	6.76526	940.2
45.611816	6.765246	940.2
45.611703	6.765237	940.2
45.611649	6.765227	940.2
45.611599	6.765202	940.2
45.61155	6.765169	940.2
45.611453	6.765092	940.2
45.611404	6.76505	940.2
45.611358	6.765009	941.2
45.611309	6.764964	941.2
45.611211	6.764866	941.2
45.611163	6.764816	941.2
45.611113	6.764769	941.2
45.611067	6.764714	941.2
45.61098	6.764605	941.2
45.610939	6.764552	941.2
45.610896	6.764498	941.2
45.610854	6.764437	941.2
45.610774	6.764318	941.2
45.610735	6.764255	941.2
45.610695	6.764191	942.4
45.610659	6.764119	942.4
45.610584	6.763973	942.4
45.610545	6.763899	942.4
45.610508	6.763825	942.4
45.610466	6.763745	942.4
45.610386	6.763581	942.4
45.610345	6.763504	942.4
45.610306	6.763424	942.4
45.610268	6.76335	942.4
45.610186	6.763186	942.4
45.610141	6.763096	942.4
45.610099	6.763012	942.4
45.610058	6.762927	942.4
45.609976	6.762758	942.4
45.609936	6.762671	942.4
45.609897	6.762588	942.4
45.609857	6.762503	942.4
45.60978	6.76233	942.4
45.609743	6.762242	942.4
45.609707	6.762156	941.2
45.609673	6.762066	941.2
45.609601	6.761887	941.2
45.609568	6.761791	941.2
45.609538	6.761698	941.2
45.609503	6.761599	941.2
45.609441	6.761407	940.2
45.609416	6.761315	940.2
45.609388	6.76122	940.2
45.609361	6.761122	940.2
45.609306	6.760929	940.2
45.609282	6.760836	939.2
45.609256	6.760739	939.2
45.609231	6.760644	939.2
45.609194	6.760474	939.2
45.609168	6.760379	939.2
45.609138	6.760287	938.2
45.609103	6.760193	938.2
45.609034	6.760016	938.2
45.608993	6.759929	938.2
45.608952	6.759845	938.2
45.608905	6.759766	937
45.608802	6.759626	937
45.608745	6.759558	937
45.608689	6.759496	937
45.608631	6.759435	937
45.60851	6.759315	937
45.608437	6.759255	935.8
45.608372	6.75921	935.8
45.608306	6.759173	935.8
45.60818	6.759094	935.8
45.608118	6.759059	935.8
45.608055	6.759015	935.8
45.607992	6.758976	935.8
45.607862	6.758902	934.8
45.607798	6.758865	934.8
45.607733	6.758829	934.8
45.607669	6.758793	934.8
45.607537	6.758724	934.8
45.607472	6.758685	934.8
45.607409	6.758644	934.8
45.607344	6.75861	934.8
45.607235	6.75851	933.6
45.607171	6.758472	933.6
45.607113	6.758425	933.6
45.607057	6.758374	933.6
45.606943	6.758282	933.6
45.606885	6.758233	933.6
45.606829	6.75818	933.6
45.606775	6.758115	933.6
45.606655	6.758028	932.6
45.606599	6.757968	932.6
45.606543	6.757908	932.6
45.606483	6.757862	932.6
45.606374	6.757742	932.6
45.606319	6.757684	932.6
45.606261	6.757621	931.6
45.606207	6.757564	931.6
45.606095	6.757443	931.6
45.606038	6.757388	931.6
45.605982	6.757327	931.6
45.605926	6.757269	931.6
45.605813	6.757164	930.4
45.605757	6.757106	930.4
45.605699	6.75705	930.4
45.605639	6.756994	930.4
45.605518	6.756885	930.4
45.605456	6.75684	930.4
45.605393	6.756793	930.4
45.605328	6.756753	930.4
45.605198	6.756678	929.4
45.605132	6.756641	929.4
45.605066	6.756606	929.4
